Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
93.183,0.02059,360.20002,0.00154,0.00154,7367.37,25.0,45.0
94.77,0.02073,370.2129,0.00156,0.00156,7572.17,25.0,45.0
96.371,0.02086,380.22459,0.00158,0.00158,7776.95,25.0,45.0
97.958,0.02099,390.23366,0.0016,0.0016,7981.67,25.0,45.0
99.552,0.02112,400.23505,0.00163,0.00163,8186.23,25.0,45.0
101.147,0.02126,410.24053,0.00165,0.00165,8390.88,25.0,45.0
102.664,0.02138,420.24768,0.00167,0.00167,8595.56,25.0,45.0
104.225,0.02151,430.25149,0.00169,0.00169,8800.18,25.0,45.0
105.75,0.02164,440.26207,0.00172,0.00172,9004.93,25.0,45.0
107.302,0.02177,450.26906,0.00175,0.00175,9209.61,25.0,45.0
108.802,0.0219,460.27187,0.00177,0.00177,9414.2,25.0,45.0
110.353,0.02202,470.27969,0.00179,0.00179,9618.9,25.0,45.0
111.843,0.02215,480.28967,0.00182,0.00182,9823.64,25.0,45.0
113.328,0.02227,490.29158,0.00184,0.00184,10028.21,25.0,45.0
114.799,0.02239,500.30249,0.00186,0.00186,10232.97,25.0,45.0
116.275,0.02252,510.31159,0.00188,0.00188,10437.69,25.0,45.0
117.764,0.02264,520.31707,0.00191,0.00191,10642.34,25.0,45.0
119.239,0.02276,530.33073,0.00193,0.00193,10847.15,25.0,45.0
120.64,0.02288,540.33253,0.00196,0.00196,11051.73,25.0,45.0
122.112,0.023,550.34701,0.00198,0.00198,11256.56,25.0,45.0
123.565,0.02313,560.35759,0.002,0.002,11461.31,25.0,45.0
124.971,0.02324,570.36894,0.00203,0.00203,11666.08,25.0,45.0
126.438,0.02336,580.37349,0.00205,0.00205,11870.71,25.0,45.0
127.83,0.02348,590.37365,0.00207,0.00207,12075.25,25.0,45.0
129.295,0.0236,600.37407,0.0021,0.0021,12279.79,25.0,45.0
130.686,0.02372,610.37752,0.00212,0.00212,12484.4,25.0,45.0
132.124,0.02384,620.38783,0.00214,0.00214,12689.14,25.0,45.0
133.522,0.02395,630.39715,0.00216,0.00216,12893.87,25.0,45.0
134.884,0.02407,640.39791,0.00219,0.00219,13098.42,25.0,45.0
136.251,0.02418,650.40065,0.00221,0.00221,13303.01,25.0,45.0
137.705,0.0243,660.40563,0.00223,0.00223,13507.65,25.0,45.0
139.069,0.02442,670.40952,0.00225,0.00225,13712.27,25.0,45.0
140.438,0.02453,680.4212,0.00227,0.00227,13917.04,25.0,45.0
141.818,0.02465,690.43365,0.0023,0.0023,14121.83,25.0,45.0
143.184,0.02476,700.44571,0.00232,0.00232,14326.61,25.0,45.0
144.541,0.02487,710.45871,0.00234,0.00234,14531.41,25.0,45.0
145.925,0.02499,720.47155,0.00237,0.00237,14736.21,25.0,45.0
147.291,0.0251,730.48334,0.0024,0.0024,14940.99,25.0,45.0
148.584,0.02521,740.49173,0.00242,0.00242,15145.7,25.0,45.0
149.954,0.02532,750.49583,0.00244,0.00244,15350.32,25.0,45.0
151.317,0.02544,760.50603,0.00246,0.00246,15555.06,25.0,45.0
152.62,0.02555,770.50926,0.00249,0.00249,15759.66,25.0,45.0
153.989,0.02566,780.52385,0.00251,0.00251,15964.49,25.0,45.0
155.286,0.02577,790.53526,0.00253,0.00253,16169.26,25.0,45.0
156.633,0.02588,800.54375,0.00255,0.00255,16373.97,25.0,45.0
157.94,0.02599,810.54715,0.00258,0.00258,16578.58,25.0,45.0
159.219,0.0261,820.5473,0.00259,0.00259,16783.12,25.0,45.0
160.563,0.02621,830.55157,0.00262,0.00262,16987.74,25.0,45.0
161.862,0.02632,840.55283,0.00265,0.00265,17192.3,25.0,45.0
163.201,0.02643,850.56544,0.00267,0.00267,17397.1,25.0,45.0
164.495,0.02654,860.57641,0.00269,0.00269,17601.86,25.0,45.0
165.792,0.02664,870.5826,0.00271,0.00271,17806.52,25.0,45.0
167.118,0.02675,880.59527,0.00274,0.00274,18011.31,25.0,45.0
168.4,0.02686,890.60849,0.00276,0.00276,18216.12,25.0,45.0
169.698,0.02697,900.62615,0.00279,0.00279,18421.02,25.0,45.0
170.967,0.02707,910.62636,0.00281,0.00281,18625.56,25.0,45.0
172.245,0.02718,920.632,0.00283,0.00283,18830.21,25.0,45.0
173.533,0.02729,930.64144,0.00285,0.00285,19034.94,25.0,45.0
174.806,0.02739,940.64862,0.00288,0.00288,19239.62,25.0,45.0
176.071,0.0275,950.65316,0.0029,0.0029,19444.25,25.0,45.0
177.394,0.02761,960.65672,0.00292,0.00292,19648.85,25.0,45.0
178.66,0.02772,970.6661,0.00295,0.00295,19853.58,25.0,45.0
179.924,0.02782,980.68041,0.00297,0.00297,20058.41,25.0,45.0
181.184,0.02793,990.69681,0.003,0.003,20263.28,25.0,45.0
182.452,0.02803,1000.71,0.00302,0.00302,20468.15,25.0,45.0
183.694,0.02814,1010.73,0.00303,0.00303,20673.04,25.0,45.0
184.953,0.02824,1020.73,0.00306,0.00306,20877.6,25.0,45.0
186.224,0.02835,1030.73,0.00308,0.00308,21082.21,25.0,45.0
187.474,0.02845,1040.75,0.0031,0.0031,21287.11,25.0,45.0
188.657,0.02855,1050.76,0.00312,0.00312,21491.73,25.0,45.0
189.976,0.02866,1060.76,0.00315,0.00315,21696.43,25.0,45.0
191.161,0.02876,1070.78,0.00317,0.00317,21901.27,25.0,45.0
192.403,0.02886,1080.79,0.00319,0.00319,22106.02,25.0,45.0
193.656,0.02897,1090.8,0.00322,0.00322,22310.83,25.0,45.0
194.906,0.02907,1100.81,0.00324,0.00324,22515.39,25.0,45.0
196.08,0.02917,1110.81,0.00326,0.00326,22719.99,25.0,45.0
197.308,0.02927,1120.82,0.00328,0.00328,22924.82,25.0,45.0
198.562,0.02937,1130.84,0.00331,0.00331,23129.66,25.0,45.0
199.735,0.02947,1140.85,0.00333,0.00333,23334.52,25.0,45.0
200.971,0.02958,1150.87,0.00335,0.00335,23539.33,25.0,45.0
202.213,0.02968,1160.87,0.00338,0.00338,23743.87,25.0,45.0
203.38,0.02978,1170.88,0.0034,0.0034,23948.7,25.0,45.0
204.615,0.02988,1180.9,0.00343,0.00343,24153.52,25.0,45.0
205.796,0.02998,1190.9,0.00345,0.00345,24358.08,25.0,45.0
207.025,0.03008,1200.91,0.00348,0.00348,24562.87,25.0,45.0
208.184,0.03018,1210.91,0.0035,0.0035,24767.41,25.0,45.0
209.409,0.03028,1220.91,0.00352,0.00352,24972.02,25.0,45.0
210.647,0.03038,1230.92,0.00355,0.00355,25176.7,25.0,45.0
211.373,0.03044,1237.18,0.00365,0.00365,25304.74,25.0,45.0
212.587,0.03054,1247.19,0.00367,0.00367,25509.56,25.0,45.0
213.754,0.03064,1257.2,0.00367,0.00367,25714.24,25.0,45.0
214.993,0.03074,1267.21,0.00368,0.00368,25919.04,25.0,45.0
216.156,0.03084,1277.22,0.00369,0.00369,26123.72,25.0,45.0
217.313,0.03094,1287.23,0.00371,0.00371,26328.37,25.0,45.0
218.561,0.03104,1297.23,0.00373,0.00373,26533.07,25.0,45.0
219.713,0.03114,1307.25,0.00376,0.00376,26737.97,25.0,45.0
220.869,0.03123,1317.26,0.00378,0.00378,26942.74,25.0,45.0
222.097,0.03133,1327.27,0.0038,0.0038,27147.36,25.0,45.0
223.252,0.03143,1337.28,0.00382,0.00382,27352.21,25.0,45.0
224.475,0.03153,1347.28,0.00384,0.00384,27556.76,25.0,45.0
225.564,0.03163,1357.29,0.00387,0.00387,27761.4,25.0,45.0
226.791,0.03173,1367.29,0.00389,0.00389,27965.94,25.0,45.0
227.934,0.03182,1377.3,0.00391,0.00391,28170.77,25.0,45.0
229.153,0.03192,1387.32,0.00394,0.00394,28375.61,25.0,45.0
230.322,0.03202,1397.32,0.00396,0.00396,28580.17,25.0,45.0
231.461,0.03212,1407.32,0.00398,0.00398,28784.71,25.0,45.0
232.613,0.03221,1417.34,0.004,0.004,28989.55,25.0,45.0
233.755,0.03231,1427.35,0.00403,0.00403,29194.3,25.0,45.0
234.98,0.03241,1437.35,0.00406,0.00406,29399.02,25.0,45.0
236.134,0.03251,1447.36,0.00407,0.00407,29603.71,25.0,45.0
237.279,0.0326,1457.37,0.0041,0.0041,29808.31,25.0,45.0
238.439,0.0327,1467.38,0.00412,0.00412,30013.13,25.0,45.0
239.583,0.03279,1477.39,0.00414,0.00414,30217.87,25.0,45.0
240.739,0.03289,1487.39,0.00417,0.00417,30422.43,25.0,45.0
241.891,0.03299,1497.4,0.00419,0.00419,30627.15,25.0,45.0
243.04,0.03308,1507.41,0.00422,0.00422,30831.86,25.0,45.0
244.19,0.03318,1517.41,0.00424,0.00424,31036.41,25.0,45.0
245.336,0.03327,1527.41,0.00427,0.00427,31240.98,25.0,45.0
246.505,0.03337,1537.42,0.00429,0.00429,31445.81,25.0,45.0
247.651,0.03346,1547.44,0.00431,0.00431,31650.56,25.0,45.0
248.793,0.03356,1557.45,0.00434,0.00434,31855.33,25.0,45.0
249.946,0.03366,1567.46,0.00436,0.00436,32060.22,25.0,45.0
251.104,0.03375,1577.48,0.00439,0.00439,32264.99,25.0,45.0
