Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
70.373,0.00697,360.20177,0.00072,0.00072,7221.95685,25.0,0.0
71.934,0.00711,370.21101,0.00074,0.00074,7422.63965,25.0,0.0
73.557,0.00724,380.21147,0.00076,0.00076,7623.14597,25.0,0.0
75.059,0.00736,390.22202,0.00078,0.00078,7823.85533,25.0,0.0
76.609,0.00749,400.2306,0.0008,0.0008,8024.52486,25.0,0.0
78.173,0.00762,410.23674,0.00082,0.00082,8225.1457,25.0,0.0
79.717,0.00775,420.2378,0.00084,0.00084,8425.66418,25.0,0.0
81.216,0.00788,430.25132,0.00086,0.00086,8626.43274,25.0,0.0
82.746,0.008,440.25524,0.00088,0.00088,8827.00877,25.0,0.0
84.208,0.00813,450.25912,0.0009,0.0009,9027.58424,25.0,0.0
85.701,0.00825,460.26197,0.00092,0.00092,9228.13924,25.0,0.0
87.213,0.00838,470.27041,0.00094,0.00094,9428.80545,25.0,0.0
88.678,0.0085,480.2743,0.00096,0.00096,9629.38092,25.0,0.0
90.142,0.00862,490.289,0.00098,0.00098,9830.17327,25.0,0.0
91.597,0.00874,500.30079,0.001,0.001,10030.90698,25.0,0.0
93.056,0.00886,510.30846,0.00102,0.00102,10231.5588,25.0,0.0
94.513,0.00899,520.30895,0.00104,0.00104,10432.06567,25.0,0.0
95.962,0.00911,530.31723,0.00106,0.00106,10632.72966,25.0,0.0
97.352,0.00922,540.32775,0.00108,0.00108,10833.43792,25.0,0.0
98.791,0.00934,550.3396,0.0011,0.0011,11034.17274,25.0,0.0
100.216,0.00946,560.34651,0.00112,0.00112,11234.80907,25.0,0.0
101.599,0.00958,570.3606,0.00113,0.00113,11435.58925,25.0,0.0
103.037,0.0097,580.36098,0.00116,0.00116,11636.09501,25.0,0.0
104.402,0.00981,590.37156,0.00118,0.00118,11836.80437,25.0,0.0
105.774,0.00992,600.38604,0.0012,0.0012,12037.5923,25.0,0.0
107.136,0.01004,610.39909,0.00121,0.00121,12238.35146,25.0,0.0
108.494,0.01015,620.39985,0.00123,0.00123,12438.86386,25.0,0.0
109.915,0.01027,630.40143,0.00125,0.00125,12639.39285,25.0,0.0
111.272,0.01038,640.40603,0.00128,0.00128,12839.98271,25.0,0.0
112.616,0.0105,650.41146,0.00129,0.00129,13040.58916,25.0,0.0
113.976,0.01061,660.42929,0.00132,0.00132,13241.44459,25.0,0.0
115.317,0.01072,670.44009,0.00133,0.00133,13442.15838,25.0,0.0
116.596,0.01083,680.44573,0.00135,0.00135,13642.76926,25.0,0.0
117.942,0.01094,690.45687,0.00137,0.00137,13843.48969,25.0,0.0
119.275,0.01105,700.46767,0.00139,0.00139,14044.20459,25.0,0.0
120.55,0.01116,710.48286,0.00141,0.00141,14245.00579,25.0,0.0
121.897,0.01127,720.49032,0.00143,0.00143,14445.65319,25.0,0.0
123.234,0.01138,730.5031,0.00145,0.00145,14646.40682,25.0,0.0
124.499,0.01149,740.51576,0.00146,0.00146,14847.15823,25.0,0.0
125.842,0.0116,750.52229,0.00148,0.00148,15047.78682,25.0,0.0
127.097,0.0117,760.52546,0.0015,0.0015,15248.3479,25.0,0.0
128.361,0.01181,770.5356,0.00152,0.00152,15449.04841,25.0,0.0
129.69,0.01192,780.54696,0.00154,0.00154,15649.77437,25.0,0.0
130.94,0.01202,790.55523,0.00156,0.00156,15850.43726,25.0,0.0
132.201,0.01213,800.56439,0.00158,0.00158,16051.11896,25.0,0.0
133.466,0.01223,810.57091,0.0016,0.0016,16251.74644,25.0,0.0
134.799,0.01234,820.57634,0.00162,0.00162,16452.3529,25.0,0.0
136.046,0.01245,830.58708,0.00164,0.00164,16653.06669,25.0,0.0
137.294,0.01255,840.5975,0.00166,0.00166,16853.77273,25.0,0.0
138.563,0.01266,850.6043,0.00168,0.00168,17054.40685,25.0,0.0
139.796,0.01276,860.61324,0.0017,0.0017,17255.08301,25.0,0.0
141.04,0.01286,870.62157,0.00172,0.00172,17455.74812,25.0,0.0
142.307,0.01297,880.6383,0.00174,0.00174,17656.58031,25.0,0.0
143.554,0.01307,890.64449,0.00176,0.00176,17857.20225,25.0,0.0
144.802,0.01318,900.64701,0.00177,0.00177,18057.75006,25.0,0.0
146.061,0.01328,910.665,0.00179,0.00179,18258.60881,25.0,0.0
147.226,0.01338,920.66532,0.00181,0.00181,18459.11235,25.0,0.0
148.464,0.01348,930.67129,0.00183,0.00183,18659.73098,25.0,0.0
149.697,0.01358,940.68221,0.00185,0.00185,18860.44588,25.0,0.0
150.927,0.01369,950.69718,0.00187,0.00187,19061.24487,25.0,0.0
152.089,0.01378,960.70502,0.0019,0.0019,19261.8978,25.0,0.0
153.33,0.01389,970.7145,0.00191,0.00191,19462.58614,25.0,0.0
154.588,0.01399,980.7275,0.00193,0.00193,19663.3453,25.0,0.0
155.755,0.01409,990.73995,0.00195,0.00195,19864.09118,25.0,0.0
