Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
94.715,0.0225,350.56496,0.00243,0.00243,7170.30309,412.78,0.0
96.938,0.02268,356.41984,0.00253,0.00253,7290.05615,412.78,0.0
99.051,0.02286,361.72911,0.00263,0.00263,7398.64965,412.78,0.0
101.069,0.02302,367.11448,0.00273,0.00273,7508.80007,412.78,0.0
103.115,0.0232,371.78824,0.00283,0.00283,7604.39492,412.78,0.0
105.103,0.02336,376.63362,0.00293,0.00293,7703.50031,412.78,0.0
107.068,0.02353,380.94698,0.00303,0.00303,7791.72388,412.78,0.0
109.041,0.02369,385.24802,0.00313,0.00313,7879.69516,412.78,0.0
110.839,0.02384,388.6525,0.00323,0.00323,7949.32925,412.78,0.0
112.714,0.02399,392.77703,0.00333,0.00333,8033.69041,412.78,0.0
114.537,0.02415,396.31308,0.00343,0.00343,8106.01507,412.78,0.0
116.41,0.0243,400.0309,0.00353,0.00353,8182.0583,412.78,0.0
118.285,0.02446,403.42315,0.00363,0.00363,8251.44175,412.78,0.0
120.1,0.02461,406.93025,0.00373,0.00373,8323.17441,412.78,0.0
121.871,0.02476,409.83877,0.00383,0.00383,8382.6642,412.78,0.0
123.567,0.0249,413.06807,0.00393,0.00393,8448.71472,412.78,0.0
125.336,0.02505,415.87645,0.00403,0.00403,8506.15574,412.78,0.0
127.048,0.02519,418.63941,0.00413,0.00413,8562.66835,412.78,0.0
128.826,0.02534,421.99492,0.00423,0.00423,8631.30046,412.78,0.0
130.55,0.02548,424.74691,0.00433,0.00433,8687.58844,412.78,0.0
132.287,0.02563,427.26684,0.00443,0.00443,8739.12989,412.78,0.0
134.067,0.02577,429.96243,0.00453,0.00453,8794.26485,412.78,0.0
135.774,0.02592,432.83344,0.00463,0.00463,8852.98669,412.78,0.0
137.352,0.02605,434.48762,0.00473,0.00473,8886.82056,412.78,0.0
138.839,0.02617,436.27286,0.00483,0.00483,8923.33561,412.78,0.0
140.461,0.02631,438.60622,0.00493,0.00493,8971.06056,412.78,0.0
141.991,0.02644,440.17782,0.00503,0.00503,9003.20584,412.78,0.0
143.882,0.02659,443.94954,0.00513,0.00513,9080.35063,412.78,0.0
146.312,0.0268,447.64344,0.00523,0.00523,9155.90421,412.78,0.0
147.608,0.0269,446.61676,0.00533,0.00533,9134.90521,412.78,0.0
149.113,0.02703,448.95368,0.00543,0.00543,9182.70319,412.78,0.0
150.684,0.02716,451.82647,0.00553,0.00553,9241.4621,412.78,0.0
152.381,0.0273,455.44276,0.00563,0.00563,9315.42833,412.78,0.0
153.926,0.02743,458.09426,0.00573,0.00573,9369.66035,412.78,0.0
155.488,0.02756,460.01935,0.00583,0.00583,9409.03582,412.78,0.0
157.081,0.02769,462.29798,0.00593,0.00593,9455.6415,412.78,0.0
158.589,0.02782,463.71731,0.00603,0.00603,9484.67184,412.78,0.0
160.223,0.02795,465.39256,0.00613,0.00613,9518.93727,412.78,0.0
162.489,0.02814,467.3541,0.00623,0.00623,9559.05745,412.78,0.0
164.845,0.02834,471.28282,0.00633,0.00633,9639.41401,412.78,0.0
166.095,0.02844,470.80071,0.00643,0.00643,9629.55243,412.78,0.0
167.542,0.02856,473.61724,0.00653,0.00653,9687.16164,412.78,0.0
169.065,0.02869,475.57702,0.00663,0.00663,9727.24531,412.78,0.0
170.547,0.02881,478.12111,0.00673,0.00673,9779.28082,412.78,0.0
172.125,0.02894,480.38083,0.00683,0.00683,9825.50031,412.78,0.0
173.619,0.02907,482.28797,0.00693,0.00693,9864.50841,412.78,0.0
175.113,0.0292,483.9618,0.00703,0.00703,9898.74397,412.78,0.0
176.625,0.02932,485.64765,0.00713,0.00713,9933.22628,412.78,0.0
178.136,0.02945,486.79947,0.00723,0.00723,9956.78473,412.78,0.0
179.63,0.02957,488.26116,0.00733,0.00733,9986.6815,412.78,0.0
181.824,0.02975,490.22198,0.00743,0.00743,10026.7873,412.78,0.0
184.856,0.03001,494.97513,0.00753,0.00753,10124.00657,412.78,0.0
186.298,0.03013,494.94923,0.00763,0.00763,10123.47653,412.78,0.0
187.585,0.03023,496.04215,0.00773,0.00773,10145.82995,412.78,0.0
189.066,0.03036,498.26867,0.00783,0.00783,10191.37112,412.78,0.0
190.55,0.03048,500.8442,0.00793,0.00793,10244.04954,412.78,0.0
191.994,0.0306,502.56683,0.00803,0.00803,10279.2832,412.78,0.0
193.533,0.03073,504.69225,0.00813,0.00813,10322.75623,412.78,0.0
194.973,0.03085,506.05877,0.00823,0.00823,10350.70658,412.78,0.0
196.367,0.03096,507.49177,0.00833,0.00833,10380.01577,412.78,0.0
197.79,0.03108,509.01131,0.00843,0.00843,10411.09544,412.78,0.0
199.164,0.0312,510.30402,0.00853,0.00853,10437.53645,412.78,0.0
200.571,0.03132,511.02224,0.00863,0.00863,10452.22701,412.78,0.0
202.024,0.03144,512.80419,0.00873,0.00873,10488.67345,412.78,0.0
205.289,0.03171,518.02238,0.00883,0.00883,10595.40463,412.78,0.0
208.134,0.03195,519.8416,0.00893,0.00893,10632.61348,412.78,0.0
209.601,0.03207,519.33864,0.00903,0.00903,10622.32699,412.78,0.0
210.869,0.03217,520.58628,0.00913,0.00913,10647.84514,412.78,0.0
212.328,0.0323,523.21379,0.00923,0.00923,10701.58695,412.78,0.0
213.743,0.03241,524.78767,0.00933,0.00933,10733.77871,412.78,0.0
215.143,0.03253,526.36468,0.00943,0.00943,10766.03464,412.78,0.0
216.541,0.03265,527.95157,0.00953,0.00953,10798.49197,412.78,0.0
217.953,0.03276,529.69044,0.00963,0.00963,10834.05759,412.78,0.0
219.304,0.03288,530.93704,0.00973,0.00973,10859.55582,412.78,0.0
220.698,0.03299,532.4657,0.00983,0.00983,10890.82139,412.78,0.0
222.06,0.03311,533.63206,0.00993,0.00993,10914.6775,412.78,0.0
223.436,0.03322,534.5246,0.01003,0.01003,10932.93337,412.78,0.0
224.873,0.03334,535.79486,0.01013,0.01013,10958.91516,412.78,0.0
226.381,0.03347,537.18883,0.01023,0.01023,10987.42653,412.78,0.0
229.661,0.03374,543.34703,0.01033,0.01033,11113.38401,412.78,0.0
232.89,0.03401,545.4966,0.01043,0.01043,11157.35057,412.78,0.0
234.546,0.03415,545.87679,0.01053,0.01053,11165.12629,412.78,0.0
235.747,0.03425,544.58842,0.01063,0.01063,11138.77491,412.78,0.0
237.204,0.03437,547.22773,0.01073,0.01073,11192.75795,412.78,0.0
238.61,0.03449,548.71111,0.01083,0.01083,11223.09845,412.78,0.0
