Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
80.691,-2.35986,340.76137,0.00148,0.00148,6941.93,204.44,0.0
82.288,-2.35973,350.76627,0.00151,0.00151,7145.75,204.44,0.0
83.906,-2.3596,360.77532,0.00153,0.00153,7349.65,204.44,0.0
85.489,-2.35946,370.78129,0.00155,0.00155,7553.49,204.44,0.0
87.071,-2.35933,380.79009,0.00157,0.00157,7757.39,204.44,0.0
88.674,-2.3592,390.79508,0.0016,0.0016,7961.21,204.44,0.0
90.18,-2.35907,400.79542,0.00162,0.00162,8164.94,204.44,0.0
91.756,-2.35894,410.79778,0.00164,0.00164,8368.7,204.44,0.0
93.325,-2.35881,420.80597,0.00166,0.00166,8572.59,204.44,0.0
94.825,-2.35868,430.81016,0.00168,0.00168,8776.39,204.44,0.0
96.33,-2.35856,440.82437,0.0017,0.0017,8980.4,204.44,0.0
97.876,-2.35843,450.8316,0.00173,0.00173,9184.27,204.44,0.0
99.363,-2.35831,460.84424,0.00175,0.00175,9388.24,204.44,0.0
100.846,-2.35818,470.85461,0.00177,0.00177,9592.17,204.44,0.0
102.33,-2.35806,480.85899,0.00179,0.00179,9795.98,204.44,0.0
103.749,-2.35794,490.87039,0.00181,0.00181,9999.93,204.44,0.0
105.233,-2.35782,500.87884,0.00183,0.00183,10203.82,204.44,0.0
106.685,-2.3577,510.88794,0.00186,0.00186,10407.72,204.44,0.0
108.156,-2.35757,520.88958,0.00187,0.00187,10611.48,204.44,0.0
109.545,-2.35746,530.90307,0.0019,0.0019,10815.47,204.44,0.0
110.993,-2.35734,540.90728,0.00192,0.00192,11019.27,204.44,0.0
112.458,-2.35722,550.91792,0.00195,0.00195,11223.21,204.44,0.0
113.845,-2.3571,560.92241,0.00197,0.00197,11427.02,204.44,0.0
115.225,-2.35698,570.93355,0.00199,0.00199,11630.96,204.44,0.0
116.68,-2.35686,580.9354,0.00202,0.00202,11834.72,204.44,0.0
118.064,-2.35675,590.94835,0.00204,0.00204,12038.7,204.44,0.0
119.445,-2.35663,600.95882,0.00206,0.00206,12242.63,204.44,0.0
120.848,-2.35652,610.96007,0.00207,0.00207,12446.38,204.44,0.0
122.225,-2.3564,620.96879,0.0021,0.0021,12650.27,204.44,0.0
123.608,-2.35629,630.97795,0.00212,0.00212,12854.18,204.44,0.0
124.99,-2.35617,640.9803,0.00214,0.00214,13057.94,204.44,0.0
126.366,-2.35606,650.9804,0.00216,0.00216,13261.66,204.44,0.0
127.672,-2.35595,660.9878,0.00219,0.00219,13465.53,204.44,0.0
129.095,-2.35583,670.99558,0.00221,0.00221,13669.41,204.44,0.0
130.389,-2.35572,680.99914,0.00223,0.00223,13873.2,204.44,0.0
131.749,-2.35561,691.01115,0.00225,0.00225,14077.16,204.44,0.0
133.114,-2.3555,701.02464,0.00228,0.00228,14281.16,204.44,0.0
134.466,-2.35538,711.0293,0.0023,0.0023,14484.97,204.44,0.0
135.768,-2.35527,721.03203,0.00231,0.00231,14688.74,204.44,0.0
137.129,-2.35516,731.04563,0.00234,0.00234,14892.74,204.44,0.0
138.415,-2.35505,741.04958,0.00236,0.00236,15096.54,204.44,0.0
139.758,-2.35494,751.06137,0.00239,0.00239,15300.5,204.44,0.0
141.061,-2.35483,761.06723,0.00241,0.00241,15504.33,204.44,0.0
142.339,-2.35472,771.07205,0.00243,0.00243,15708.15,204.44,0.0
143.682,-2.35461,781.07643,0.00245,0.00245,15911.96,204.44,0.0
144.98,-2.35451,791.08696,0.00248,0.00248,16115.89,204.44,0.0
146.317,-2.35439,801.09963,0.0025,0.0025,16319.87,204.44,0.0
147.588,-2.35429,811.10269,0.00252,0.00252,16523.65,204.44,0.0
148.869,-2.35418,821.10856,0.00255,0.00255,16727.49,204.44,0.0
150.127,-2.35408,831.11184,0.00257,0.00257,16931.27,204.44,0.0
151.398,-2.35397,841.11737,0.00259,0.00259,17135.1,204.44,0.0
152.738,-2.35386,851.12077,0.00261,0.00261,17338.89,204.44,0.0
153.995,-2.35375,861.13574,0.00264,0.00264,17542.91,204.44,0.0
155.261,-2.35365,871.14106,0.00265,0.00265,17746.74,204.44,0.0
156.532,-2.35354,881.15307,0.00268,0.00268,17950.7,204.44,0.0
157.795,-2.35344,891.16239,0.0027,0.0027,18154.61,204.44,0.0
159.047,-2.35333,901.17401,0.00272,0.00272,18358.57,204.44,0.0
160.307,-2.35323,911.18756,0.00274,0.00274,18562.56,204.44,0.0
161.578,-2.35312,921.20429,0.00277,0.00277,18766.62,204.44,0.0
162.825,-2.35302,931.20576,0.00279,0.00279,18970.37,204.44,0.0
164.021,-2.35292,941.20745,0.00281,0.00281,19174.12,204.44,0.0
165.294,-2.35281,951.22188,0.00283,0.00283,19378.13,204.44,0.0
166.553,-2.35271,961.22676,0.00285,0.00285,19581.95,204.44,0.0
167.806,-2.3526,971.23174,0.00288,0.00288,19785.77,204.44,0.0
169.073,-2.3525,981.2342,0.0029,0.0029,19989.54,204.44,0.0
170.262,-2.3524,991.2405,0.00292,0.00292,20193.39,204.44,0.0
171.513,-2.35229,1001.24,0.00294,0.00294,20397.13,204.44,0.0
172.711,-2.35219,1011.25,0.00297,0.00297,20600.96,204.44,0.0
173.902,-2.35209,1021.25,0.00299,0.00299,20804.74,204.44,0.0
175.158,-2.35199,1031.26,0.00301,0.00301,21008.75,204.44,0.0
176.342,-2.35189,1041.27,0.00303,0.00303,21212.55,204.44,0.0
177.601,-2.35179,1051.27,0.00305,0.00305,21416.39,204.44,0.0
178.781,-2.35169,1061.28,0.00307,0.00307,21620.15,204.44,0.0
180.025,-2.35158,1071.28,0.0031,0.0031,21823.89,204.44,0.0
181.214,-2.35149,1081.28,0.00312,0.00312,22027.68,204.44,0.0
182.453,-2.35138,1091.29,0.00314,0.00314,22231.68,204.44,0.0
183.625,-2.35128,1101.3,0.00316,0.00316,22435.57,204.44,0.0
184.878,-2.35118,1111.3,0.00319,0.00319,22639.29,204.44,0.0
186.048,-2.35108,1121.31,0.00321,0.00321,22843.05,204.44,0.0
187.215,-2.35099,1131.31,0.00323,0.00323,23046.87,204.44,0.0
188.386,-2.35089,1141.32,0.00325,0.00325,23250.71,204.44,0.0
