Time (s),Displacement (in),Load (lbs),Gauge Strain (in/in),Hybrid Strain (in/in),Engineering Stress (psi),Temp (C),Angle (deg)
75.048,0.02839,341.1274,0.00061,0.00061,6949.39034,25.0,90.0
76.59,0.02852,351.13044,0.00064,0.00064,7153.17093,25.0,90.0
78.197,0.02865,361.13089,0.00066,0.00066,7356.89841,25.0,90.0
79.796,0.02879,371.14134,0.00067,0.00067,7560.82949,25.0,90.0
81.321,0.02892,381.14652,0.00069,0.00069,7764.65324,25.0,90.0
82.866,0.02904,391.14763,0.0007,0.0007,7968.39455,25.0,90.0
84.374,0.02917,401.16008,0.00072,0.00072,8172.36658,25.0,90.0
85.889,0.0293,411.16567,0.00073,0.00073,8376.19863,25.0,90.0
87.482,0.02943,421.1664,0.00075,0.00075,8579.93164,25.0,90.0
88.99,0.02956,431.17619,0.00077,0.00077,8783.84944,25.0,90.0
90.524,0.02968,441.18049,0.00078,0.00078,8987.65549,25.0,90.0
91.962,0.0298,451.18682,0.00081,0.00081,9191.50247,25.0,90.0
93.448,0.02993,461.1921,0.00082,0.00082,9395.32899,25.0,90.0
94.948,0.03005,471.19923,0.00083,0.00083,9599.19202,25.0,90.0
96.382,0.03017,481.1996,0.00085,0.00085,9802.91784,25.0,90.0
97.869,0.0303,491.2008,0.00087,0.00087,10006.66136,25.0,90.0
99.302,0.03041,501.21122,0.00088,0.00088,10210.59189,25.0,90.0
100.715,0.03053,511.22131,0.0009,0.0009,10414.51579,25.0,90.0
102.197,0.03066,521.22635,0.00091,0.00091,10618.33677,25.0,90.0
103.623,0.03077,531.22843,0.00093,0.00093,10822.09689,25.0,90.0
105.02,0.03089,541.23281,0.00094,0.00094,11025.90459,25.0,90.0
106.439,0.03101,551.23373,0.00097,0.00097,11229.64148,25.0,90.0
107.834,0.03112,561.23411,0.00098,0.00098,11433.3673,25.0,90.0
109.227,0.03124,571.24606,0.001,0.001,11637.32992,25.0,90.0
110.643,0.03136,581.25851,0.00102,0.00102,11841.30139,25.0,90.0
112.027,0.03147,591.26871,0.00103,0.00103,12045.2275,25.0,90.0
113.337,0.03158,601.27512,0.00105,0.00105,12249.07614,25.0,90.0
114.743,0.0317,611.2772,0.00107,0.00107,12452.83737,25.0,90.0
116.105,0.03181,621.28191,0.0011,0.0011,12656.65171,25.0,90.0
117.417,0.03192,631.28629,0.00111,0.00111,12860.45942,25.0,90.0
118.803,0.03204,641.28727,0.00114,0.00114,13064.19741,25.0,90.0
120.109,0.03215,651.29039,0.00115,0.00115,13267.97966,25.0,90.0
121.471,0.03226,661.29054,0.00117,0.00117,13471.70105,25.0,90.0
122.794,0.03237,671.29975,0.00119,0.00119,13675.60724,25.0,90.0
124.146,0.03248,681.31231,0.00121,0.00121,13879.58093,25.0,90.0
125.443,0.03259,691.3297,0.00123,0.00123,14083.6531,25.0,90.0
126.751,0.0327,701.3309,0.00125,0.00125,14287.39662,25.0,90.0
128.042,0.03281,711.33567,0.00127,0.00127,14491.21207,25.0,90.0
129.397,0.03292,721.33873,0.00129,0.00129,14694.99211,25.0,90.0
130.682,0.03303,731.34026,0.00131,0.00131,14898.74227,25.0,90.0
131.98,0.03314,741.35424,0.00133,0.00133,15102.74473,25.0,90.0
133.258,0.03324,751.364,0.00135,0.00135,15306.66198,25.0,90.0
134.542,0.03335,761.37096,0.00136,0.00136,15510.5228,25.0,90.0
135.835,0.03346,771.38204,0.00139,0.00139,15714.46661,25.0,90.0
137.114,0.03357,781.3974,0.0014,0.0014,15918.49784,25.0,90.0
138.383,0.03367,791.4093,0.00142,0.00142,16122.45824,25.0,90.0
139.671,0.03378,801.41527,0.00144,0.00144,16326.29804,25.0,90.0
140.879,0.03388,811.419,0.00146,0.00146,16530.09246,25.0,90.0
142.16,0.03399,821.42837,0.00148,0.00148,16734.00197,25.0,90.0
143.452,0.03409,831.42842,0.0015,0.0015,16937.72115,25.0,90.0
144.714,0.0342,841.43658,0.00151,0.00151,17141.60631,25.0,90.0
145.915,0.0343,851.44146,0.00153,0.00153,17345.42397,25.0,90.0
147.192,0.0344,861.45023,0.00155,0.00155,17549.3202,25.0,90.0
148.459,0.03451,871.459,0.00157,0.00157,17753.21753,25.0,90.0
149.659,0.03461,881.4613,0.00159,0.00159,17956.98319,25.0,90.0
150.939,0.03472,891.46453,0.0016,0.0016,18160.76655,25.0,90.0
152.136,0.03482,901.4716,0.00162,0.00162,18364.62958,25.0,90.0
153.405,0.03492,911.47241,0.00163,0.00163,18568.36536,25.0,90.0
154.601,0.03502,921.4819,0.00165,0.00165,18772.27597,25.0,90.0
155.869,0.03513,931.49237,0.00167,0.00167,18976.2065,25.0,90.0
157.056,0.03523,941.5046,0.00169,0.00169,19180.17465,25.0,90.0
158.25,0.03533,951.51628,0.00171,0.00171,19384.13174,25.0,90.0
159.516,0.03543,961.52401,0.00173,0.00173,19588.00695,25.0,90.0
160.69,0.03553,971.53745,0.00175,0.00175,19791.99944,25.0,90.0
161.88,0.03563,981.54847,0.00176,0.00176,19995.94104,25.0,90.0
163.14,0.03573,991.55335,0.00178,0.00178,20199.7587,25.0,90.0
164.323,0.03583,1001.56459,0.0018,0.0018,20403.70694,25.0,90.0
165.505,0.03593,1011.56463,0.00182,0.00182,20607.42722,25.0,90.0
166.691,0.03603,1021.57774,0.00183,0.00183,20811.41087,25.0,90.0
167.948,0.03613,1031.58042,0.00185,0.00185,21015.18427,25.0,90.0
169.125,0.03623,1041.59123,0.00187,0.00187,21219.12365,25.0,90.0
170.305,0.03633,1051.59358,0.00189,0.00189,21422.8882,25.0,90.0
171.5,0.03643,1061.59406,0.0019,0.0019,21626.61734,25.0,90.0
172.684,0.03653,1071.59905,0.00192,0.00192,21830.43722,25.0,90.0
173.872,0.03663,1081.60798,0.00193,0.00193,22034.33676,25.0,90.0
175.067,0.03673,1091.62515,0.00195,0.00195,22238.40672,25.0,90.0
176.246,0.03683,1101.63025,0.00197,0.00197,22442.22881,25.0,90.0
177.429,0.03692,1111.64281,0.00199,0.00199,22646.20139,25.0,90.0
178.541,0.03702,1121.65097,0.002,0.002,22850.08766,25.0,90.0
179.732,0.03712,1131.66233,0.00202,0.00202,23054.03589,25.0,90.0
180.909,0.03721,1141.67401,0.00204,0.00204,23257.99298,25.0,90.0
182.074,0.03731,1151.68152,0.00206,0.00206,23461.86376,25.0,90.0
183.261,0.03741,1161.69243,0.00208,0.00208,23665.80535,25.0,90.0
184.42,0.03751,1171.70466,0.00209,0.00209,23869.77129,25.0,90.0
185.53,0.0376,1181.71854,0.00211,0.00211,24073.77264,25.0,90.0
186.71,0.0377,1191.73538,0.00213,0.00213,24277.83375,25.0,90.0
187.904,0.0378,1201.7374,0.00214,0.00214,24481.59387,25.0,90.0
189.01,0.03789,1211.75402,0.00217,0.00217,24685.65055,25.0,90.0
190.175,0.03799,1221.76998,0.00218,0.00218,24889.69395,25.0,90.0
191.356,0.03808,1231.78726,0.0022,0.0022,25093.7639,25.0,90.0
192.458,0.03818,1241.79279,0.00221,0.00221,25297.59706,25.0,90.0
193.627,0.03827,1251.80403,0.00224,0.00224,25501.54308,25.0,90.0
194.721,0.03837,1261.80452,0.00225,0.00225,25705.27222,25.0,90.0
195.901,0.03846,1271.81148,0.00227,0.00227,25909.13193,25.0,90.0
196.997,0.03856,1281.82031,0.00229,0.00229,26113.02926,25.0,90.0
198.16,0.03865,1291.83078,0.00231,0.00231,26316.96201,25.0,90.0
199.344,0.03875,1301.83664,0.00232,0.00232,26520.79959,25.0,90.0
200.434,0.03884,1311.84174,0.00234,0.00234,26724.62168,25.0,90.0
201.531,0.03893,1321.85551,0.00236,0.00236,26928.62081,25.0,90.0
202.686,0.03903,1331.86741,0.00238,0.00238,27132.58011,25.0,90.0
203.798,0.03912,1341.87503,0.00239,0.00239,27336.45532,25.0,90.0
204.949,0.03922,1351.88089,0.00241,0.00241,27540.2929,25.0,90.0
206.043,0.03931,1361.89059,0.00243,0.00243,27744.20794,25.0,90.0
207.13,0.0394,1371.89701,0.00244,0.00244,27948.05658,25.0,90.0
208.304,0.0395,1381.9178,0.00246,0.00246,28152.19957,25.0,90.0
209.392,0.03959,1391.93211,0.00248,0.00248,28356.20977,25.0,90.0
210.543,0.03969,1401.9427,0.0025,0.0025,28560.14252,25.0,90.0
211.645,0.03978,1411.95756,0.00251,0.00251,28764.16378,25.0,90.0
212.798,0.03987,1421.96309,0.00253,0.00253,28967.99473,25.0,90.0
213.885,0.03996,1431.97653,0.00255,0.00255,29171.98722,25.0,90.0
214.981,0.04005,1441.99666,0.00257,0.00257,29376.11693,25.0,90.0
216.158,0.04015,1452.01087,0.00258,0.00258,29580.12271,25.0,90.0
217.249,0.04024,1462.01717,0.0026,0.0026,29783.97136,25.0,90.0
218.335,0.04033,1472.02479,0.00262,0.00262,29987.84435,25.0,90.0
219.444,0.04042,1482.03274,0.00264,0.00264,30191.72398,25.0,90.0
220.54,0.04052,1492.04201,0.00266,0.00266,30395.63237,25.0,90.0
221.63,0.04061,1502.05292,0.00268,0.00268,30599.57176,25.0,90.0
222.714,0.0407,1512.06691,0.0027,0.0027,30803.57532,25.0,90.0
223.885,0.0408,1522.07551,0.00271,0.00271,31007.46823,25.0,90.0
224.975,0.04089,1532.076,0.00273,0.00273,31211.19737,25.0,90.0
226.066,0.04098,1542.07802,0.00275,0.00275,31414.95749,25.0,90.0
227.157,0.04107,1552.08838,0.00277,0.00277,31618.88581,25.0,90.0
228.258,0.04116,1562.09084,0.00278,0.00278,31822.65478,25.0,90.0
229.344,0.04125,1572.09671,0.0028,0.0028,32026.49236,25.0,90.0
230.44,0.04134,1582.10378,0.00282,0.00282,32230.35429,25.0,90.0
231.607,0.04144,1592.11249,0.00284,0.00284,32434.25162,25.0,90.0
232.687,0.04153,1602.12033,0.00286,0.00286,32638.12904,25.0,90.0
233.772,0.04162,1612.12598,0.00287,0.00287,32841.96219,25.0,90.0
234.855,0.04171,1622.13557,0.0029,0.0029,33045.87502,25.0,90.0
236.019,0.04181,1632.14429,0.00292,0.00292,33249.77235,25.0,90.0
237.103,0.0419,1642.16069,0.00294,0.00294,33453.8246,25.0,90.0
238.184,0.04199,1652.16633,0.00295,0.00295,33657.65776,25.0,90.0
239.269,0.04208,1662.1677,0.00297,0.00297,33861.4046,25.0,90.0
240.375,0.04217,1672.17773,0.00299,0.00299,34065.32628,25.0,90.0
241.523,0.04227,1682.18612,0.00301,0.00301,34269.21476,25.0,90.0
242.616,0.04236,1692.19956,0.00303,0.00303,34473.20726,25.0,90.0
243.722,0.04245,1702.20432,0.00305,0.00305,34677.02271,25.0,90.0
244.805,0.04254,1712.21326,0.00307,0.00307,34880.92447,25.0,90.0
245.962,0.04264,1722.23229,0.00309,0.00309,35085.02983,25.0,90.0
247.055,0.04273,1732.24441,0.00312,0.00312,35288.99577,25.0,90.0
248.16,0.04282,1742.25774,0.00314,0.00314,35492.98385,25.0,90.0
249.33,0.04292,1752.27502,0.00316,0.00316,35697.05602,25.0,90.0
250.42,0.04301,1762.29395,0.00318,0.00318,35901.15917,25.0,90.0
251.531,0.0431,1772.30168,0.0032,0.0032,36105.03437,25.0,90.0
252.719,0.0432,1782.30578,0.00323,0.00323,36308.83654,25.0,90.0
253.824,0.04329,1792.30605,0.00325,0.00325,36512.56125,25.0,90.0
254.996,0.04339,1802.30818,0.00327,0.00327,36716.32138,25.0,90.0
256.195,0.04349,1812.33194,0.00329,0.00329,36920.52412,25.0,90.0
257.305,0.04358,1822.34329,0.00332,0.00332,37124.47457,25.0,90.0
258.488,0.04368,1832.3475,0.00334,0.00334,37328.27895,25.0,90.0
259.688,0.04378,1842.34996,0.00337,0.00337,37532.04793,25.0,90.0
260.881,0.04388,1852.35813,0.00339,0.00339,37735.93198,25.0,90.0
262.073,0.04398,1862.3674,0.00343,0.00343,37939.83817,25.0,90.0
263.272,0.04408,1872.37359,0.00345,0.00345,38143.68239,25.0,90.0
264.564,0.04419,1882.39142,0.00348,0.00348,38347.76562,25.0,90.0
265.853,0.04429,1892.39498,0.00351,0.00351,38551.55673,25.0,90.0
267.068,0.0444,1902.41259,0.00355,0.00355,38755.63111,25.0,90.0
268.379,0.0445,1912.42141,0.00358,0.00358,38959.53287,25.0,90.0
269.695,0.04461,1922.42387,0.00361,0.00361,39163.29742,25.0,90.0
271.027,0.04473,1932.43533,0.00365,0.00365,39367.25229,25.0,90.0
272.45,0.04484,1942.45382,0.00369,0.00369,39571.34438,25.0,90.0
273.805,0.04496,1952.45452,0.00373,0.00373,39775.07795,25.0,90.0
275.236,0.04508,1962.46028,0.00377,0.00377,39978.91331,25.0,90.0
276.783,0.0452,1972.46581,0.00382,0.00382,40182.74425,25.0,90.0
278.257,0.04533,1982.48166,0.00387,0.00387,40386.78765,25.0,90.0
279.837,0.04546,1992.48742,0.00393,0.00393,40590.62302,25.0,90.0
281.516,0.0456,2002.49954,0.00398,0.00398,40794.58675,25.0,90.0
283.208,0.04574,2012.51078,0.00404,0.00404,40998.53277,25.0,90.0
285.013,0.04589,2022.5229,0.00412,0.00412,41202.50092,25.0,90.0
286.83,0.04604,2032.53326,0.00419,0.00419,41406.42924,25.0,90.0
288.773,0.0462,2042.5377,0.00427,0.00427,41610.23805,25.0,90.0
290.803,0.04637,2052.5417,0.00436,0.00436,41814.03801,25.0,90.0
292.964,0.04655,2062.55294,0.00445,0.00445,42017.98403,25.0,90.0
295.164,0.04674,2072.55891,0.00455,0.00455,42221.82383,25.0,90.0
297.34,0.04692,2081.47158,0.00465,0.00465,42403.39098,25.0,90.0
299.389,0.04709,2089.47293,0.00475,0.00475,42566.39465,25.0,90.0
301.379,0.04725,2096.31665,0.00485,0.00485,42705.81553,25.0,90.0
303.414,0.04742,2103.3731,0.00495,0.00495,42849.56523,25.0,90.0
305.347,0.04758,2109.75689,0.00505,0.00505,42979.61584,25.0,90.0
307.338,0.04775,2116.73606,0.00515,0.00515,43121.79424,25.0,90.0
309.221,0.04791,2121.46759,0.00525,0.00525,43218.1836,25.0,90.0
311.072,0.04806,2126.97738,0.00535,0.00535,43330.42761,25.0,90.0
312.98,0.04822,2132.28695,0.00545,0.00545,43438.59509,25.0,90.0
314.862,0.04838,2137.08193,0.00555,0.00555,43536.2769,25.0,90.0
316.627,0.04852,2141.02179,0.00565,0.00565,43616.54161,25.0,90.0
318.388,0.04867,2145.73334,0.00575,0.00575,43712.52376,25.0,90.0
320.127,0.04882,2149.8743,0.00585,0.00585,43796.88271,25.0,90.0
321.876,0.04896,2153.04885,0.00595,0.00595,43861.55392,25.0,90.0
323.554,0.0491,2156.95864,0.00605,0.00605,43941.20339,25.0,90.0
325.31,0.04925,2159.69762,0.00615,0.00615,43997.00007,25.0,90.0
327.027,0.04939,2163.10993,0.00625,0.00625,44066.51354,25.0,90.0
328.716,0.04953,2165.99797,0.00635,0.00635,44125.35102,25.0,90.0
330.401,0.04967,2169.19031,0.00645,0.00645,44190.38518,25.0,90.0
332.079,0.04981,2171.6924,0.00655,0.00655,44241.3573,25.0,90.0
333.861,0.04996,2175.19933,0.00665,0.00665,44312.80059,25.0,90.0
335.537,0.0501,2177.50736,0.00675,0.00675,44359.81569,25.0,90.0
337.228,0.05024,2179.67729,0.00685,0.00685,44404.02458,25.0,90.0
338.856,0.05038,2182.1447,0.00695,0.00695,44454.28851,25.0,90.0
340.531,0.05052,2184.66831,0.00705,0.00705,44505.69882,25.0,90.0
342.236,0.05066,2186.99653,0.00715,0.00715,44553.12998,25.0,90.0
343.887,0.0508,2188.61828,0.00725,0.00725,44586.16714,25.0,90.0
345.597,0.05094,2190.30939,0.00735,0.00735,44620.61625,25.0,90.0
347.203,0.05107,2192.73531,0.00745,0.00745,44670.0392,25.0,90.0
348.798,0.0512,2194.45453,0.00755,0.00755,44705.06373,25.0,90.0
350.409,0.05134,2196.73774,0.00765,0.00765,44751.57424,25.0,90.0
352.015,0.05147,2197.76804,0.00775,0.00775,44772.56328,25.0,90.0
353.656,0.05161,2199.89209,0.00785,0.00785,44815.83381,25.0,90.0
355.247,0.05174,2201.7876,0.00795,0.00795,44854.45241,25.0,90.0
356.863,0.05188,2202.18255,0.00805,0.00805,44862.49481,25.0,90.0
358.537,0.05202,2204.32636,0.00815,0.00815,44906.16813,25.0,90.0
360.154,0.05215,2205.99245,0.00825,0.00825,44940.11266,25.0,90.0
361.76,0.05229,2207.83395,0.00835,0.00835,44977.6247,25.0,90.0
363.369,0.05242,2208.812,0.00845,0.00845,44997.55145,25.0,90.0
364.951,0.05255,2209.74065,0.00855,0.00855,45016.46903,25.0,90.0
