Time(s),Strain(%),Stress(MPa),SR(s-1),Temp(C),Angle(deg)
26.662598,1.598586751968504e-05,24.127133410226836,0.00025370340306410486,25.0,45.0
26.762695,1.487268031496063e-05,23.328026912725875,0.00025370340306410486,25.0,45.0
26.862793,1.5741451181102364e-05,24.772811226451363,0.00025370340306410486,25.0,45.0
26.962891,9.803646062992127e-06,24.865243880558758,0.00025370340306410486,25.0,45.0
27.062988,2.1220267716535433e-05,24.75338331410996,0.00025370340306410486,25.0,45.0
27.263184,2.857194094488189e-05,25.57682019735999,0.00025370340306410486,25.0,45.0
27.363281,1.8557491732283465e-05,26.363788286556453,0.00025370340306410486,25.0,45.0
27.463379,3.0275600393700784e-05,27.11302575932334,0.00025370340306410486,25.0,45.0
27.563477,2.1324326771653543e-05,26.855358195565806,0.00025370340306410486,25.0,45.0
27.663574,1.923346968503937e-05,27.080333205177496,0.00025370340306410486,25.0,45.0
27.763672,1.971907874015748e-05,27.410357554786618,0.00025370340306410486,25.0,45.0
27.86377,1.90140594488189e-05,27.407632961681404,0.00025370340306410486,25.0,45.0
27.963867,2.5089602362204722e-05,27.638795335127515,0.00025370340306410486,25.0,45.0
28.063965,1.639806909448819e-05,28.531200820197363,0.00025370340306410486,25.0,45.0
28.164063,2.5970470472440947e-05,28.716670511341793,0.00025370340306410486,25.0,45.0
28.26416,1.706759468503937e-05,29.1361886453928,0.00025370340306410486,25.0,45.0
28.364258,2.6913452755905512e-05,28.632664359861593,0.00025370340306410486,25.0,45.0
28.464355,3.128714960629921e-05,29.57692938613354,0.00025370340306410486,25.0,45.0
28.564453,1.9884442913385826e-05,29.915565808022556,0.00025370340306410486,25.0,45.0
28.664551,3.5936722440944886e-05,30.603439702678457,0.00025370340306410486,25.0,45.0
28.764648,3.742238385826772e-05,30.756555171088046,0.00025370340306410486,25.0,45.0
28.864746,1.9598886023622046e-05,31.50914007433039,0.00025370340306410486,25.0,45.0
28.964844,4.136532677165354e-05,30.788753043701142,0.00025370340306410486,25.0,45.0
29.064941,2.9518149606299213e-05,32.05301038062284,0.00025370340306410486,25.0,45.0
29.165039,3.681033267716535e-05,31.95458669742407,0.00025370340306410486,25.0,45.0
29.265137,4.096441535433071e-05,32.15079328463411,0.00025370340306410486,25.0,45.0
29.365234,2.984161811023622e-05,32.84089965397924,0.00025370340306410486,25.0,45.0
29.465332,4.8701874015748034e-05,32.92609252851467,0.00025370340306410486,25.0,45.0
29.56543,3.742561023622047e-05,33.425695245418424,0.00025370340306410486,25.0,45.0
29.665527,3.164772637795276e-05,33.67351275150583,0.00025370340306410486,25.0,45.0
29.765625,2.611082874015748e-05,34.35812379853902,0.00025370340306410486,25.0,45.0
29.865723,3.0447419291338583e-05,34.1081558374984,0.00025370340306410486,25.0,45.0
29.96582,4.612298818897638e-05,34.910447263872875,0.00025370340306410486,25.0,45.0
30.065918,5.297937598425197e-05,35.316150198641544,0.00025370340306410486,25.0,45.0
30.166016,5.048136220472441e-05,34.87109573241061,0.00025370340306410486,25.0,45.0
30.266113,5.187263976377953e-05,35.958787645777264,0.00025370340306410486,25.0,45.0
30.366211,4.9056803149606296e-05,36.37591951813405,0.00025370340306410486,25.0,45.0
30.466309,5.491293503937008e-05,36.5961527617583,0.00025370340306410486,25.0,45.0
30.566406,5.029179724409449e-05,37.20257080610021,0.00025370340306410486,25.0,45.0
30.666504,4.039894881889764e-05,38.03226195053185,0.00025370340306410486,25.0,45.0
30.766602,5.9823862204724405e-05,38.41684480328079,0.00025370340306410486,25.0,45.0
30.866699,5.506377755905512e-05,37.914948096885816,0.00025370340306410486,25.0,45.0
30.966797,7.510114566929134e-05,38.690852236319365,0.00025370340306410486,25.0,45.0
31.066895,6.252213188976378e-05,39.204018967063945,0.00025370340306410486,25.0,45.0
31.166992,7.038300787401575e-05,38.83848519800077,0.00025370340306410486,25.0,45.0
31.26709,6.634407283464568e-05,39.65084454696911,0.00025370340306410486,25.0,45.0
31.367188,6.93682342519685e-05,39.870947071639115,0.00025370340306410486,25.0,45.0
31.467285,6.712491929133857e-05,39.96520312700243,0.00025370340306410486,25.0,45.0
31.567383,7.546010826771653e-05,40.599133666538506,0.00025370340306410486,25.0,45.0
31.66748,5.9460059055118106e-05,39.98519543765219,0.00025370340306410486,25.0,45.0
31.767578,8.053620078740157e-05,41.359610406254006,0.00025370340306410486,25.0,45.0
31.867676,8.169859448818897e-05,41.675001922337565,0.00025370340306410486,25.0,45.0
31.967773,7.475912401574802e-05,42.01814430347302,0.00025370340306410486,25.0,45.0
32.067871,7.14776437007874e-05,40.79384339356658,0.00025370340306410486,25.0,45.0
32.167969,8.302151181102362e-05,42.048917083173144,0.00025370340306410486,25.0,45.0
32.268066,8.60545433070866e-05,41.96048186594899,0.00025370340306410486,25.0,45.0
32.368164,8.554150787401575e-05,42.938490324234266,0.00025370340306410486,25.0,45.0
32.468262,8.814862795275591e-05,43.600225554274,0.00025370340306410486,25.0,45.0
32.568359,8.688943503937008e-05,44.238180187107524,0.00025370340306410486,25.0,45.0
32.668457,9.736448228346457e-05,44.71838267333077,0.00025370340306410486,25.0,45.0
32.768555,8.59028937007874e-05,45.438964500833016,0.00025370340306410486,25.0,45.0
32.868652,9.568663976377953e-05,43.98476739715494,0.00025370340306410486,25.0,45.0
32.96875,9.202441535433071e-05,45.673851082916826,0.00025370340306410486,25.0,45.0
33.068848,9.334733267716534e-05,45.92927079328464,0.00025370340306410486,25.0,45.0
33.168945,0.00010507915157480314,46.19559656542356,0.00025370340306410486,25.0,45.0
33.269043,0.00010193097637795275,46.880143534538,0.00025370340306410486,25.0,45.0
33.369141,9.674981692913384e-05,47.2279302832244,0.00025370340306410486,25.0,45.0
33.469238,0.00010997799015748031,47.59139049083686,0.00025370340306410486,25.0,45.0
33.569336,0.00010635366929133857,49.051072664359864,0.00025370340306410486,25.0,45.0
33.669434,0.00010282878346456692,49.042047930283225,0.00025370340306410486,25.0,45.0
33.769531,9.747902952755905e-05,49.606282199154165,0.00025370340306410486,25.0,45.0
33.869629,9.286737204724409e-05,49.93883378187877,0.00025370340306410486,25.0,45.0
33.969727,0.00011090321653543308,50.08630014097142,0.00025370340306410486,25.0,45.0
34.069824,0.00011704027559055118,51.27374855824683,0.00025370340306410486,25.0,45.0
34.169922,0.00010794601574803149,50.00024862232475,0.00025370340306410486,25.0,45.0
34.27002,0.0001150099153543307,51.34334743047546,0.00025370340306410486,25.0,45.0
34.370117,0.00011675713188976378,51.83937972574651,0.00025370340306410486,25.0,45.0
34.470215,0.00011048053543307087,52.526617967448416,0.00025370340306410486,25.0,45.0
34.570313,0.00013224394488188976,54.3400461361015,0.00025370340306410486,25.0,45.0
34.67041,0.0001248430688976378,53.692738690247346,0.00025370340306410486,25.0,45.0
34.770508,0.00012063150393700788,53.99266179674484,0.00025370340306410486,25.0,45.0
34.870605,0.0001257328090551181,53.85408688965782,0.00025370340306410486,25.0,45.0
34.970703,0.00011456705708661417,53.19960015378701,0.00025370340306410486,25.0,45.0
35.070801,0.00012080493503937007,54.49491477636806,0.00025370340306410486,25.0,45.0
35.170898,0.00011013850787401573,54.67871587850827,0.00025370340306410486,25.0,45.0
35.270996,0.00013772437795275588,55.374745610662565,0.00025370340306410486,25.0,45.0
35.371094,0.0001344380531496063,56.323209022170964,0.00025370340306410486,25.0,45.0
35.471191,0.00013260935826771652,56.883624247084455,0.00025370340306410486,25.0,45.0
35.571289,0.00012023624212598425,55.585251826220684,0.00025370340306410486,25.0,45.0
35.671387,0.0001255601811023622,56.516188645392795,0.00025370340306410486,25.0,45.0
35.771484,0.00012931920472440946,57.77510957324106,0.00025370340306410486,25.0,45.0
35.871582,0.0001362038287401575,58.11167243367935,0.00025370340306410486,25.0,45.0
35.97168,0.0001373654153543307,57.22890170447264,0.00025370340306410486,25.0,45.0
36.071777,0.00012786400196850394,56.85954376521851,0.00025370340306410486,25.0,45.0
36.171875,0.00014238524212598425,58.58912213251314,0.00025370340306410486,25.0,45.0
36.271973,0.00013474458267716534,58.80783544790465,0.00025370340306410486,25.0,45.0
36.37207,0.00014514461811023622,59.23938997821351,0.00025370340306410486,25.0,45.0
36.472168,0.00014452349212598425,59.956747404844286,0.00025370340306410486,25.0,45.0
36.572266,0.000151201,60.33376393694733,0.00025370340306410486,25.0,45.0
36.672363,0.0001370298405511811,60.197665000640775,0.00025370340306410486,25.0,45.0
36.772461,0.0001592665649606299,62.3435140330642,0.00025370340306410486,25.0,45.0
36.872559,0.00015119535039370078,62.680840702293985,0.00025370340306410486,25.0,45.0
36.972656,0.00016260692716535435,64.06600281942842,0.00025370340306410486,25.0,45.0
37.072754,0.00015924559645669293,63.66335511982571,0.00025370340306410486,25.0,45.0
37.172852,0.00016723392125984253,64.24866589773164,0.00025370340306410486,25.0,45.0
37.272949,0.0001559715748031496,65.6292272202999,0.00025370340306410486,25.0,45.0
37.373047,0.00016121464173228346,65.70175317185698,0.00025370340306410486,25.0,45.0
37.473145,0.00018162872244094488,66.75740356273228,0.00025370340306410486,25.0,45.0
37.573242,0.00017581030511811023,65.6636985774702,0.00025370340306410486,25.0,45.0
37.67334,0.00016766063582677164,67.15785979751378,0.00025370340306410486,25.0,45.0
37.773438,0.00017678716141732284,66.42216839677047,0.00025370340306410486,25.0,45.0
37.873535,0.00017327900393700787,66.38150967576573,0.00025370340306410486,25.0,45.0
37.973633,0.00016204873031496064,67.01513007817505,0.00025370340306410486,25.0,45.0
38.07373,0.00016725812007874015,67.39942586184802,0.00025370340306410486,25.0,45.0
38.173828,0.00018315391141732282,67.32291170062797,0.00025370340306410486,25.0,45.0
38.273926,0.0001716915059055118,68.36579008073818,0.00025370340306410486,25.0,45.0
38.374023,0.0001792853818897638,69.34266564141997,0.00025370340306410486,25.0,45.0
38.474121,0.0001688553031496063,69.61004485454313,0.00025370340306410486,25.0,45.0
38.574219,0.0001648276653543307,69.81193899782136,0.00025370340306410486,25.0,45.0
38.674316,0.0001907606909448819,71.36658721004741,0.00025370340306410486,25.0,45.0
38.774414,0.00017824156299212597,70.55626553889529,0.00025370340306410486,25.0,45.0
38.874512,0.00018370565748031497,72.10906061771114,0.00025370340306410486,25.0,45.0
38.974609,0.00017655726377952756,71.30577726515443,0.00025370340306410486,25.0,45.0
39.074707,0.00020535937007874015,74.11793925413302,0.00025370340306410486,25.0,45.0
39.174805,0.0001907606909448819,72.66421889017046,0.00025370340306410486,25.0,45.0
39.274902,0.00018701295275590552,74.16628732538769,0.00025370340306410486,25.0,45.0
39.375,0.00020298698818897636,73.93800333205176,0.00025370340306410486,25.0,45.0
39.475098,0.0002033338385826772,75.70038703062924,0.00025370340306410486,25.0,45.0
39.575195,0.00019493191141732285,76.6761681404588,0.00025370340306410486,25.0,45.0
39.675293,0.00019300157086614173,75.67267461232859,0.00025370340306410486,25.0,45.0
39.775391,0.00019781226377952758,75.07964885300525,0.00025370340306410486,25.0,45.0
39.875488,0.0002016180905511811,75.81821863385878,0.00025370340306410486,25.0,45.0
39.975586,0.00021395330708661418,76.67411764705882,0.00025370340306410486,25.0,45.0
40.075684,0.00021189066929133858,77.26615916955016,0.00025370340306410486,25.0,45.0
40.175781,0.00020614748031496063,77.88314238113547,0.00025370340306410486,25.0,45.0
40.275879,0.00019515131299212597,77.9927925156991,0.00025370340306410486,25.0,45.0
40.375977,0.0002028103346456693,78.40197616301423,0.00025370340306410486,25.0,45.0
40.476074,0.00021441954724409448,79.42665385108292,0.00025370340306410486,25.0,45.0
40.576172,0.00021168094488188978,80.4039343842112,0.00025370340306410486,25.0,45.0
40.67627,0.0002092208464566929,79.72171472510573,0.00025370340306410486,25.0,45.0
40.776367,0.00021841492125984253,80.18016403947199,0.00025370340306410486,25.0,45.0
40.876465,0.0002065951771653543,79.81333333333333,0.00025370340306410486,25.0,45.0
40.976563,0.00020778419291338582,81.07367166474432,0.00025370340306410486,25.0,45.0
41.07666,0.00021370080708661417,80.87007304882738,0.00025370340306410486,25.0,45.0
41.176758,0.0002250424212598425,81.54419582211969,0.00025370340306410486,25.0,45.0
41.276855,0.00021927805118110235,82.27491221325131,0.00025370340306410486,25.0,45.0
41.376953,0.00021782525590551178,82.82961168781239,0.00025370340306410486,25.0,45.0
41.477051,0.00022229251968503935,82.43297193387158,0.00025370340306410486,25.0,45.0
41.577148,0.00021209476377952757,83.90858644111239,0.00025370340306410486,25.0,45.0
41.677246,0.00024007265748031496,85.98641035499166,0.00025370340306410486,25.0,45.0
41.777344,0.00023821976377952754,85.26478277585544,0.00025370340306410486,25.0,45.0
41.877441,0.0002273300787401575,84.61529924388057,0.00025370340306410486,25.0,45.0
41.977539,0.00024103822834645668,86.55132384980135,0.00025370340306410486,25.0,45.0
42.077637,0.00022966616141732282,86.0440522875817,0.00025370340306410486,25.0,45.0
42.177734,0.00023457791338582677,88.25829040112777,0.00025370340306410486,25.0,45.0
42.277832,0.00024993383858267713,89.10076124567475,0.00025370340306410486,25.0,45.0
42.37793,0.00022836181102362204,88.62082532359348,0.00025370340306410486,25.0,45.0
42.478027,0.0002528265157480315,90.37477124183006,0.00025370340306410486,25.0,45.0
42.578125,0.0002474576181102362,90.1727668845316,0.00025370340306410486,25.0,45.0
42.678223,0.00024778108267716533,92.34468281430219,0.00025370340306410486,25.0,45.0
42.77832,0.0002552013188976378,92.71970011534025,0.00025370340306410486,25.0,45.0
42.878418,0.00025114543307086615,92.42450595924643,0.00025370340306410486,25.0,45.0
42.978516,0.0002556619094488189,92.59187235678586,0.00025370340306410486,25.0,45.0
43.078613,0.0002593031692913386,94.02650006407791,0.00025370340306410486,25.0,45.0
43.178711,0.0002635750196850394,94.74914520056389,0.00025370340306410486,25.0,45.0
43.278809,0.00025362590551181104,96.1125772138921,0.00025370340306410486,25.0,45.0
43.378906,0.0002737227559055118,95.64518774830194,0.00025370340306410486,25.0,45.0
43.479004,0.0002655650590551181,95.53675765731128,0.00025370340306410486,25.0,45.0
