Time(s),Strain(%),Stress(MPa),SR(s-1),Temp(C),Angle(deg)
38.231689,1.5798821653543305e-06,12.261809081527348,0.00025370340306410486,25.0,30.0
38.331787,6.134067716535432e-06,13.286388802889578,0.00025370340306410486,25.0,30.0
38.431885,6.821339960629921e-06,14.345436790505676,0.00025370340306410486,25.0,30.0
38.531982,2.0963657480314962e-05,14.567767801857586,0.00025370340306410486,25.0,30.0
38.63208,1.0686842125984252e-05,14.909569143446854,0.00025370340306410486,25.0,30.0
38.732178,3.377114960629921e-06,15.354238132094943,0.00025370340306410486,25.0,30.0
38.832275,4.278957677165354e-06,15.15394685242518,0.00025370340306410486,25.0,30.0
39.032471,4.40479625984252e-06,16.0308459752322,0.00025370340306410486,25.0,30.0
39.132568,9.885024409448818e-06,16.52096181630547,0.00025370340306410486,25.0,30.0
39.232666,7.321467519685039e-06,16.014549793601653,0.00025370340306410486,25.0,30.0
39.432861,1.2663152559055116e-05,16.780302115583076,0.00025370340306410486,25.0,30.0
39.633057,9.673680708661417e-06,16.99511016511868,0.00025370340306410486,25.0,30.0
39.733154,9.113860236220472e-06,17.91911713106295,0.00025370340306410486,25.0,30.0
39.833252,5.053147244094488e-06,18.298563467492258,0.00025370340306410486,25.0,30.0
39.93335,8.985601377952756e-06,19.223706398348817,0.00025370340306410486,25.0,30.0
40.033447,2.3036765748031496e-05,19.647552889576883,0.00025370340306410486,25.0,30.0
40.133545,4.106051771653543e-05,19.32083539731682,0.00025370340306410486,25.0,30.0
40.233643,3.0963980314960634e-06,19.623090041279667,0.00025370340306410486,25.0,30.0
40.33374,1.3698094488188976e-05,20.664140350877194,0.00025370340306410486,25.0,30.0
40.433838,2.5872972440944882e-05,20.86624045407637,0.00025370340306410486,25.0,30.0
40.533936,2.1727561023622046e-05,22.00145356037152,0.00025370340306410486,25.0,30.0
40.634033,2.8705952755905515e-05,22.30552708978328,0.00025370340306410486,25.0,30.0
40.734131,2.800980905511811e-05,22.028597265221876,0.00025370340306410486,25.0,30.0
40.834229,1.6601253149606298e-05,22.226709494324048,0.00025370340306410486,25.0,30.0
40.934326,3.57728779527559e-05,22.378315273477813,0.00025370340306410486,25.0,30.0
41.034424,2.0616793307086614e-05,23.184062693498454,0.00025370340306410486,25.0,30.0
41.134521,2.387326968503937e-05,22.40738415892673,0.00025370340306410486,25.0,30.0
41.234619,2.4984037401574805e-05,23.39748503611971,0.00025370340306410486,25.0,30.0
41.334717,2.6113358267716535e-05,24.459807275541795,0.00025370340306410486,25.0,30.0
41.434814,3.0656450787401574e-05,23.67218653250774,0.00025370340306410486,25.0,30.0
41.534912,3.597534842519685e-05,23.42020794633643,0.00025370340306410486,25.0,30.0
41.63501,2.6890169291338582e-05,23.917197110423118,0.00025370340306410486,25.0,30.0
41.735107,3.050802755905512e-05,24.890568885448918,0.00025370340306410486,25.0,30.0
41.835205,4.9894019685039366e-05,24.822111197110424,0.00025370340306410486,25.0,30.0
41.935303,3.887931496062992e-05,25.578456398348816,0.00025370340306410486,25.0,30.0
42.0354,4.938501771653543e-05,26.211529927760576,0.00025370340306410486,25.0,30.0
