MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Operator Information						Time:	25.736084	Sec	10/19/2021 12:51:22 PM
Operator	Newell Moser
Project	AM Bench 2022 mini-tensile challenge
Specimen ID	45-XY.08-2
Material	PBF-L Inconel 625
Specimen Width	2.55	mm
Specimen Thickness	1.49	mm
Notes	
Operator Information End

Data Acquisition						Time:	1026.7307	Sec	10/19/2021 1:08:03 PM
Time	Axial Displacement	Axial Extensometer	Axial Force
Sec	mm	mm	N
25.850586	-0.0028486468	-0.0057615885	76.741333
25.950684	-0.0024489046	-0.0057772053	76.316513
26.050781	-0.0054511204	-0.0056376276	78.251747
26.150879	-0.0034948729	-0.0056749904	79.604691
26.250977	-0.0038440072	-0.0057618469	80.119072
26.351074	-0.0028529495	-0.0056870626	81.385071
26.451172	-0.0020678074	-0.0057509919	83.264458
26.55127	-0.001003245	-0.0056930701	82.486061
26.651367	-0.0010759813	-0.0057381	86.743561
26.751465	-0.0030404248	-0.0056476877	83.839851
26.851563	0.0012632589	-0.0056890459	87.278343
26.95166	-0.0019415944	-0.0057126945	87.441597
27.051758	0.00089404534	-0.0056662294	86.694466
27.151855	0.00030764739	-0.0056288498	88.338371
27.251953	-0.0021196448	-0.0056337225	89.596909
27.352051	-0.00026010547	-0.0055985916	91.097046
27.452148	0.0028316479	-0.0055677681	91.481926
27.552246	0.0017449575	-0.0056867595	94.141678
27.652344	-6.2590596e-05	-0.0056174211	92.673294
27.752441	0.001987702	-0.0056258421	95.240891
27.852539	-0.0011608062	-0.0056820386	96.74794
27.952637	0.0013654995	-0.0057042572	100.02502
28.052734	0.0045439219	-0.0056411433	104.70293
28.152832	0.0041517606	-0.0056461017	102.16418
28.25293	0.00097231369	-0.0056255022	102.08567
28.353027	0.00022712523	-0.0055522001	104.617
28.453125	0.0016879978	-0.0055733616	106.87932
28.553223	0.0030844833	-0.0055599082	109.42594
28.65332	0.0038251642	-0.0055450904	112.76838
28.753418	0.00615416	-0.005625715	113.01639
28.853516	0.0059269359	-0.0055302605	116.41142
28.953613	0.0041613905	-0.0056240964	113.15842
29.053711	0.0066331951	-0.0055039208	117.69169
29.153809	0.0060617542	-0.0055351574	115.49188
29.253906	0.0048787137	-0.0055280845	117.8751
29.354004	0.0065993881	-0.0055262735	119.49829
29.454102	0.0064145764	-0.0055685299	122.16772
29.554199	0.0066106571	-0.0055468897	123.95158
29.654297	0.0069472929	-0.0055087153	123.69508
29.754395	0.0049239947	-0.0055562328	127.41667
29.854492	0.0063426597	-0.0054887058	127.19578
29.95459	0.008264537	-0.0055408492	127.10576
30.054688	0.0070835454	-0.0055173771	128.67136
30.154785	0.0059896326	-0.0055412469	131.67436
30.254883	0.0083061298	-0.0055395546	133.69527
30.35498	0.010307658	-0.0055402429	134.62447
30.455078	0.0090266801	-0.0054417579	135.16226
30.555176	0.0094323643	-0.0054803831	136.0757
30.655273	0.011162464	-0.0055339774	139.55402
30.755371	0.0092284977	-0.005466647	143.87482
30.855469	0.0078289388	-0.0054489085	140.9915
30.955566	0.0075308224	-0.0054873084	141.36818
31.055664	0.0095290728	-0.0054917666	144.14467
31.155762	0.0095245652	-0.0053959936	144.9568
31.255859	0.011738002	-0.005417339	146.24646
31.355957	0.011088703	-0.005426723	148.79065
31.456055	0.010664374	-0.0054064062	150.30573
31.556152	0.014698216	-0.0053521725	155.14592
31.65625	0.013400436	-0.0053884126	152.55173
31.756348	0.011600111	-0.0054363734	153.627
31.856445	0.012771626	-0.0054197814	152.2916
31.956543	0.011703786	-0.0053991531	155.42374
32.056641	0.013882545	-0.0054039271	158.57816
32.156738	0.015699057	-0.0053809229	161.11769
